tenant_history_id,property_id,locality,bhk,monthly_rent,lease_start_date,lease_end_date,occupancy_status,tenant_name,created_at
TH1001,PROP1655,Cyber City Gurgaon,1,24100,2025-06-20,2026-05-20,OCCUPIED,Anvi Konda,2024-03-22 03:21:46
TH1002,PROP1755,DLF Phase 5,1,26600,2025-10-04,2026-09-04,OCCUPIED,Pahal Balay,2023-08-23 05:06:47
TH1003,PROP1224,Janakpuri,1,14500,2024-03-16,2026-01-16,OCCUPIED,Rushil Saini,2024-03-19 02:30:58
TH1004,PROP1604,Noida Sector 150,1,15200,2025-04-26,2026-03-26,OCCUPIED,Nathaniel Sami,2024-07-28 09:11:26
TH1005,PROP1349,Noida Sector 150,2,20500,2024-01-07,2025-11-07,OCCUPIED,Harsh Chanda,2024-09-09 20:34:55
TH1006,PROP1390,DLF Phase 5,3,60700,2024-08-17,2026-06-17,VACANT,Aishani Bassi,2025-09-28 03:29:19
TH1007,PROP1748,Ghaziabad Vasundhara,1,9400,2025-02-27,2026-12-27,OCCUPIED,Farhan Memon,2026-01-15 08:36:51
TH1008,PROP1301,West Delhi,2,17800,2025-05-28,2026-04-28,OCCUPIED,Rehaan Boase,2023-09-09 18:35:02
TH1009,PROP1792,Noida Sector 18,1,18300,2024-03-26,2025-02-26,OCCUPIED,Fariq Kaul,2026-02-24 23:41:27
TH1010,PROP1465,West Delhi,2,16500,2024-09-09,2025-08-09,OCCUPIED,Janya Gaba,2024-08-30 04:16:48
TH1011,PROP1719,Lajpat Nagar,2,30200,2024-03-06,2025-02-06,OCCUPIED,Ekbal Garg,2025-02-25 19:57:12
TH1012,PROP1389,Noida Sector 150,2,23000,2024-04-14,2025-03-14,OCCUPIED,Ladli Madan,2026-07-09 19:18:00
TH1013,PROP1033,Noida Sector 76,4,30600,2025-06-20,2026-05-20,VACANT,Ekta Bhalla,2024-03-28 12:52:07
TH1014,PROP1581,Noida Sector 76,2,18700,2023-08-25,2025-06-25,VACANT,Nandini Loyal,2023-10-02 02:06:28
TH1015,PROP1659,Ghaziabad Vasundhara,2,12300,2026-04-15,2027-03-15,OCCUPIED,Simon Tata,2024-09-27 01:34:13
TH1016,PROP1552,Preet Vihar,4,41400,2026-04-17,2028-02-17,OCCUPIED,Luke Lanka,2023-12-21 13:25:30
