visit_id,property_id,owner_id,user_name,user_email,user_phone,scheduled_time,status,notes,created_at
VST1001,PROP1655,OWN1058,Aryan Maharaj,aryanmaharaj45@gmail.com,+91-739958838,2026-07-05 11:30 AM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:24
VST1002,PROP1759,OWN1280,Gagan Sami,gagansami85@gmail.com,+91-814265799,2026-06-22 10:00 AM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:47:19
VST1003,PROP1518,OWN1014,Yashasvi Bala,yashasvibala35@outlook.com,+91-997226012,2026-07-24 06:30 PM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:48:33
VST1004,PROP1460,OWN1143,Thomas Sen,thomassen30@gmail.com,+91-966722344,2026-07-26 02:00 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:48:45
VST1005,PROP1981,OWN1173,Nathaniel Sami,nathanielsami21@gmail.com,+91-822981052,2026-07-11 02:00 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:47:26
VST1006,PROP1271,OWN1023,Harsh Chanda,harshchanda68@outlook.com,+91-926753883,2026-07-13 04:00 PM,CONFIRMED,Visiting with family.,2026-07-21 06:47:51
VST1007,PROP1850,OWN1186,Aishani Bassi,aishanibassi34@outlook.com,+91-919335534,2026-08-03 10:00 AM,COMPLETED,Visiting with family.,2026-07-21 06:48:12
VST1008,PROP1082,OWN1120,Farhan Memon,farhanmemon58@gmail.com,+91-870855700,2026-08-09 06:30 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:22
VST1009,PROP1380,OWN1182,Rehaan Boase,rehaanboase95@gmail.com,+91-896977837,2026-06-23 10:00 AM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:47:35
VST1010,PROP1547,OWN1126,Fariq Kaul,fariqkaul69@gmail.com,+91-846231783,2026-08-11 06:30 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:47:53
VST1011,PROP1702,OWN1167,Janya Gaba,janyagaba39@gmail.com,+91-752339391,2026-07-13 04:00 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:47:33
VST1012,PROP1936,OWN1291,Ekbal Garg,ekbalgarg50@outlook.com,+91-797971488,2026-07-23 04:00 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:47:37
VST1013,PROP1470,OWN1074,Ladli Madan,ladlimadan27@yahoo.co.in,+91-785345555,2026-08-19 05:30 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:48:24
VST1014,PROP1439,OWN1299,Ekta Bhalla,ektabhalla56@yahoo.co.in,+91-728566572,2026-07-04 05:30 PM,PENDING,Interested in weekend morning visit.,2026-07-21 06:47:11
VST1015,PROP1882,OWN1057,Nandini Loyal,nandiniloyal90@gmail.com,+91-766661351,2026-06-24 05:30 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:48:57
